action	動作，行動
activity	活動
advantage	有利，利点
aid	援助／…を助ける
amount	量，額
area	地域，面積
arms	武器，兵器
aspect	局面
atmosphere	雰囲気
attempt	試み／…を試みる
attitude	考え方，態度
audience	聴衆，観客，視聴者
basis	土台，基礎
behavior	行動，振る舞い
benefit	利益／…に利益をもたらす
bill	請求書，紙幣，法案
birth	誕生
blood	血
brain	頭脳
case	場合，事例
cause	原因／…の原因となる，
cause	…に～させる
challenge	挑戦，難題／…に異議を唱える
chance	機会，可能性，偶然
character	性格，特質
choice	選択（肢）
civilization	文明
class	階級，等級，授業，学級
clerk	事務員
communication	コミュニケーション，意思の伝達
community	共同社会
company	会社，仲間
competition	競争，競争相手
content	中身，目次／満足して
control	支配，制御／…を支配［制御］する
crowd	群衆，人混み
culture	文化
customer	顧客
damage	損害／…に損害を与える
degree	程度，度
demand	要求，需要／…を要求する
desire	願望／…を強く望む
detail	詳細
development	発展，発達
difference	違い
difficulty	困難，苦労
direction	方向，方角
disease	病気
distance	距離
doubt	疑い／…を疑う
economy	経済
education	教育
effect	効果，影響，結果
environment	環境
event	出来事，行事
evidence	証拠
exchange	交換／…を交換する
exercise	運動，練習／運動をする
experience	経験／…を経験する
experiment	実験
expression	表現
fact	事実
factor	要因，要素
failure	失敗，失敗作，失敗者
feature	特徴／…を目玉とする
field	分野，領域，野原，畑
figure	数字，姿，人物
force	力／…を［に］強制する
form	形態／…を形成する
freedom	自由
generation	世代
god	神
government	政府，統治
growth	成長
habit	（個人の）習慣，癖
history	歴史
idea	考え，思いつき
industry	産業，工業
information	情報
issue	問題，（雑誌などの）号／
kid	子供／（…を）からかう
knowledge	知識
labor	労働
lack	不足，欠落／…がない
language	ことば，言語
law	法律，法則
level	レベル，水準，程度
life	生活，人生，生命
limit	限度，制限／…を制限する
line	行，列
literature	文学
loss	失うこと，損失
majority	大多数，大半
mark	しるし，（試験の）点数／
mark	…の印となる
market	市場
mass	塊，集団，大衆
material	材料，原料／物質（的）な
meal	食事
measure	措置，測るもの／…を測る
method	方法
million	百万
mind	アタマ，思考／…を嫌がる
mistake	誤り／…を～と間違える
moment	瞬間，時
most	大半／最も…
movement	動き，（政治的・社会的）運動
nation	国家，民族，国民
nature	自然，性質
note	メモ／…に注目［注意］する
object	物体，対象，目的／反対する
office	会社，仕事部屋，公職の地位
opinion	意見
opportunity	機会
order	命令，秩序／…に命じる，…を注文する
paper	新聞，書類，レポート，論文
party	政党，当事者
period	期間，時代
phone	電話／…に電話をかける
place	場所／…を置く
plant	植物
pleasure	楽しみ，喜び
policy	政策，方針
population	人口，国民
position	位置，立場，地位
power	力，権力，大国
practice	練習，慣習，実行
president	社長，大統領，学長
price	値段
principle	原理・原則，主義
problem	問題
process	過程／…を加工処理する
product	製品，産物
production	生産，製造
progress	進歩
purpose	目的
quality	質
range	範囲／範囲が及ぶ
rate	率，割合
reality	現実
reason	理由，理性
relation	関係
relationship	関係
research	研究，調査
respect	尊敬，尊重，点／…を尊敬する
response	反応，返答
rest	休憩，その他／休憩する
result	結果
science	科学
sense	感覚，意味
shape	形／…を形作る
side	側面，側
sign	兆候／…に署名をする
situation	状況，情勢
skill	技能
society	社会
sort	種類
species	（動植物の）種
speech	話，スピーチ，演説
stage	段階，舞台
standard	標準，基準
state	状態，国家，州
step	措置，歩み
stranger	見知らぬ人，（ある場所に）初めて来た人
stress	強調，重圧／…を強調する
structure	構造
subject	話題，主題
success	成功，成功したもの［人］
supply	供給／…に供給する
surface	表面
system	体制，体系，組織
task	仕事，作業
taste	味／…な味がする
technology	テクノロジー，科学技術
temperature	温度，体温
term	期間，学期，用語，条件，間柄
theory	理論
trade	貿易，…を交換する
traffic	交通，往来／交通の
truth	真実
universe	宇宙
university	大学
value	価値／…を重んじる
variety	多様
view	眺め，見方／…を見る，
view	…を～と見なす
war	戦争
weather	気候，天気
weight	重さ，体重
